CODIGO,TAG,EQUIPO,DESCRIPCION,FABRICANTE;;;;;;;;;;;;;;;;;;;
"80960,320BM001B,MOTOR DE LA RASTRA AUXILIAR,""ELECTRIC MOTOR (100 HP) (3 PH) (50 HZ) (447TSC TEFC,FR) (380 V) (134 AMP)(TYPE: TCE)(SF:1.15)(1485 RPM) FOR: TAG MOTOR: 320BM001B."",US MOTOR";;;;;;;;;;;;;;;;;;;
"742585,320BM001B,MOTOR DE LA RASTRA AUXILIAR,""ELECTRIC MOTOR (100 HP) (3 PH) (50 HZ) (447TSC TEFC,FR) (380 V) (134 AMP)(TYPE: TCE)(SF:1.15)(1485 RPM) FOR: TAG MOTOR: 320BM001B."",US MOTOR";;;;;;;;;;;;;;;;;;;
80945,310AG011 | 310AG012,AGITADOR TK ALMACENAMIENTO CONCENTRADO,MOTOR JAULA ARDILLA TYPE:TCE /3 PH/ 50 HZ/ SF:1.15,US MOTOR;;;;;;;;;;;;;;;;;;;
471946,310AG011 | 310AG012,AGITADOR TK ALMACENAMIENTO CONCENTRADO,MOTOR JAULA ARDILLA TYPE:TCE /3 PH/ 50 HZ/ SF:1.15,US MOTOR;;;;;;;;;;;;;;;;;;;
"763515,310BD001,310BD001 NAVE FILTRADO 310FA091 310FA092 310FA095 311FA3304 311FA3305,""VENTILADOR AXIAL MURAL PARA NAVE FILTRADO, MARCA S&P, MODELO HIT-1250 P POTENCIA MOTOR 1,5 KW/ 2 HP TENSIÓN 3-230/400- 50 HZ INTENSIDAD MAXIMA 6,3A/3,6A CLASE DE MOTOR: F VELOCIDAD 1450 RPM NUMERO DE POLOS 4 EFICIENCIA ESTÁNDAR , PROTECCIÓN IP55 , CAUDAL PUNTO REQUERIDO 44.300 M3/H PRESIÓN ESTÁTICA PUNTO REQUERIDO 1,00 Pa CAUDAL PUNTO DE TRABAJO 44.366 M3/H PRESIÓN ESTÁTICA PUNTO DE TRABAJO 1,00 Pa PRESIÓN TOTAL PUNTO DE TRABAJO 4,80 Pa TRANSMISIÓN INDIRECTA, CON HÉLICE CON ASPAS DE ALUMINIO DE PASO FIJO UNIDIRECCIONAL. EL SUMINISTRO INCLUYE CELOSÍA GRAVITACIONAL Y REJILLA DE PROTECCIÓN ."",S&P";;;;;;;;;;;;;;;;;;;
"167965,310BM001,PORTAL RECLAIMER,""FRENO DEL MOTOR DEL SISTEMA DE DESPLAZAMIENTO DEL PORTAL RECLAIMER CARACTERÍSTICAS: FRENO MOTOR DE 15 LB. DTWP PARA MOTOR MODELO H19226 SERIE A08A188029TF, POTENCIA DEL MOTOR 5 HP: FRAME DEL MOTOR 215TC"",US MOTORS";;;;;;;;;;;;;;;;;;;
81026,310BM001,MOTOR RASTRA PRINCIPAL,ELECTRIC MOTOR (200 HP) (3 PH) (50 HZ) (FRAME:449TMC TEFC)(380V DELTA)(270 AMP) (TYPE JCE)(SF:1.15)(1475 RPM)(ENLOSURE TE) (DESIG: B) (INSULLATION F)(TEMP.AMB 40 GRD C)(EFF NOM:95)(CODE G)(KVAR 36.9) FOR:TAG NO:320BM001A. (REPARADO),US MOTORS;;;;;;;;;;;;;;;;;;;
508119,310BM001,MOTOR RASTRA PRINCIPAL,ELECTRIC MOTOR (200 HP) (3 PH) (50 HZ) (FRAME:449TMC TEFC)(380V DELTA)(270 AMP) (TYPE JCE)(SF:1.15)(1475 RPM)(ENLOSURE TE) (DESIG: B) (INSULLATION F)(TEMP.AMB 40 GRD C)(EFF NOM:95)(CODE G)(KVAR 36.9) FOR:TAG NO:320BM001A. (REPARADO),US MOTORS;;;;;;;;;;;;;;;;;;;
80481,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,MOTOR VENTILADOR Rod. Eje 6209-2Z/C3 Rod. Vent. 6209-2Z/C3,ABB MOTORS;;;;;;;;;;;;;;;;;;;
766829,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,Motor auxiliar ventilador ZT200/250 15-17kw/230D-400-460VY/50-60hz,ATLAS COPCO;;;;;;;;;;;;;;;;;;;
756609,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,Aspa ventilador axial ZT200/250 116x116x20cm x 7.74kg.,ATLAS COPCO;;;;;;;;;;;;;;;;;;;
744168,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,MOTOR VENTILADOR Rod. Eje 6209-2Z/C3 Rod. Vent. 6209-2Z/C3,ABB MOTORS;;;;;;;;;;;;;;;;;;;
81141,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,MOTOR Rod. Eje 6226-J/C3 Rod. Vent. 6226-J/C3,US MOTOR;;;;;;;;;;;;;;;;;;;
751896,310CP012 | 310CP013 | 310CP014 | 310CP018 | 310CP019 | 310CP020,COMP AIRE PLANTA COMP AIRE PLANTA COMP AIRE INSTRUM COMP AIRE INSTRUM COMP AIRE FILTRO COMP AIRE FILTRO COMP AIRE FILTRO,MOTOR Rod. Eje 6226-J/C3 Rod. Vent. 6226-J/C3,US MOTOR;;;;;;;;;;;;;;;;;;;
80705,310CV022 | 310CV023 | 310CV024 | 311CV1048 | 310CV1049 | 740DR1501,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,ELECTRIC MOTOR (7.5 HP)(1480 RPM)(380 V) (SF:1.15) (10.9 AMP) (3 PH) (50 HZ)(TYPE :TCE)(MOD:H15921) FOR: TAG NO.:310CV022A /023A/024A.,US MOTOR;;;;;;;;;;;;;;;;;;;
454900,310CV022 | 310CV023 | 310CV024 | 311CV1048 | 310CV1049 | 740DR1501,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,ELECTRIC MOTOR (7.5 HP)(1480 RPM)(380 V) (SF:1.15) (10.9 AMP) (3 PH) (50 HZ)(TYPE :TCE)(MOD:H15921) FOR: TAG NO.:310CV022A /023A/024A.,US MOTOR;;;;;;;;;;;;;;;;;;;
"80499,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,""MOTOR DE ALTA MODEL LS-180L,RATED POWER 22KW,POLES:4,RPM:1500RPM, MOUNTING POS:B35/IM2001, MAINS VOLTS:400VD,FREC: 50HZ, ISOLATION CLASS:F,D.OF PROTECTION:IP55, SVEDALA DRWG:1-0150 REF.:7.FOR: SVEDALA FILTER."",LEROY-SOMER";;;;;;;;;;;;;;;;;;;
"80739,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,""MOTOR DE ALTA MODEL LS-180L,RATED POWER 22KW,POLES:4,RPM:1500RPM, MOUNTING POS:B35/IM2001, MAINS VOLTS:400VD,FREC: 50HZ, ISOLATION CLASS:F,D.OF PROTECTION:IP55, SVEDALA DRWG:1-0150 REF.:7.FOR: SVEDALA FILTER."",LEROY-SOMER";;;;;;;;;;;;;;;;;;;
"518449,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,""MOTOR DE ALTA MODEL LS-180L,RATED POWER 22KW,POLES:4,RPM:1500RPM, MOUNTING POS:B35/IM2001, MAINS VOLTS:400VD,FREC: 50HZ, ISOLATION CLASS:F,D.OF PROTECTION:IP55, SVEDALA DRWG:1-0150 REF.:7.FOR: SVEDALA FILTER."",LEROY-SOMER";;;;;;;;;;;;;;;;;;;
"80507,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,""MOTOR DE BAJA MODEL LS225ST,RATED POWER 37KW,POLES:4, RPM:1500, MOUNTING POSITIONB35/IM2001, VOLTS:400VD,FREC:50HZ,IS.CLAS:F, D.OF PROTECTION:IP55,SVEDALA DRWG:1-0150 REF:10.FOR:SVEDALA FILTERS."",LEROY-SOMER";;;;;;;;;;;;;;;;;;;
"451112,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,""MOTOR DE BAJA MODEL LS225ST,RATED POWER 37KW,POLES:4, RPM:1500, MOUNTING POSITIONB35/IM2001, VOLTS:400VD,FREC:50HZ,IS.CLAS:F, D.OF PROTECTION:IP55,SVEDALA DRWG:1-0150 REF:10.FOR:SVEDALA FILTERS."",LEROY-SOMER";;;;;;;;;;;;;;;;;;;
88823,310FL001 | 310FL002 | 310FL003 | 310FL004 | 310FL005,CORREA DESC FL001 CORREA DESC FL002 CORREA DESC FL003 CORREA DESC FL004 CORREA DESC FL005,MOTOR VIBRADOR TYPE 303S; N°294345; 475 WATT; 230V/1.59A; 400V/0.96A; 1500 RPM; 50/3 HZ; 65 IP.,DYNAPAC;;;;;;;;;;;;
"153536,310PP151 | 310PP153B | 310PP161 | 310PP162 | 311PP3303 | 311PP3304,PP TRANSF AGUA FILTRADA PP TRANSF AGUA FILTRADA,""MOTOR ELECTRICO TRIFASICO FACTOR SERVICIO 1.15, NEMA B,CLASE F,PARTIDA DIRECTA, TIPO CT, PARA OPERAR A 4500 M.S.N.M. PARA: ALMACENAMIENTO 310PP162"",US MOTOR";;;;;;;;;;;;;;;;;;;
"454942,310PP151 | 310PP153B | 310PP161 | 310PP162 | 311PP3303 | 311PP3304,PP TRANSF AGUA FILTRADA PP TRANSF AGUA FILTRADA,""MOTOR ELECTRICO TRIFASICO FACTOR SERVICIO 1.15, NEMA B,CLASE F,PARTIDA DIRECTA, TIPO CT, PARA OPERAR A 4500 M.S.N.M. PARA: ALMACENAMIENTO 310PP162"",US MOTOR";;;;;;;;;;;;;;;;;;;
80846,310PP152 | 312PP1501 | 310PP164 | 310PP167,PP ESPESADOR CONC PP BOMBA SUMIDERO,ELECTRIC MOTOR (40 HP) ( 3 PH) (50 HZ) (1490 RPM)(FRAME:364T) (TYPE:TCI) (SF:1. 15)(380 V)(58 AMP) FOR:TAG NO.:310PP151A /152A.,US MOTOR;;;;;;;;;;;;;;;;;;;
469551,310PP152 | 312PP1501 | 310PP164 | 310PP167,PP ESPESADOR CONC PP ESPESADOR CONC BOMBA FLUJO INFERIOR ESPESADOR DE CU FILTRADO,ELECTRIC MOTOR (40 HP) ( 3 PH) (50 HZ) (1490 RPM)(FRAME:364T) (TYPE:TCI) (SF:1. 15)(380 V)(58 AMP) FOR:TAG NO.:310PP151A /152A.,US MOTOR;;;;;;;;;;;;;;;;;;;
"166694,310PP151 | 310PP156 | 312PP1502 | 312PP1503,PP ESPESADOR CONC PP ESPESADOR CONC BOMBA FLUJO INFERIOR ESPESADOR DE CU FILTRADO,""MOTOR ELECTRICO 100 HP, 1480 RPM., FRAME 444T, TYPE TCE, TENSION 380 VOLT, FRECUENCIA 50 HZ, FASES 3, FACTOR DE SERVICIO 1.15, FACTOR DE POTENCIA 87.6, CORRIENTE 136 AMP.:PARA CORREA PUERTO  TAG 320CV027A MODELO : H16885 ENCL : TEFC RODAMIENTO EJE : 100BC02X3 RODAMIENTO VENTILADOR : 65BC03X3"",US MOTOR";;;;;;;;;;;;;;;;;;;
"457176,310PP151 | 310PP156 | 312PP1502 | 312PP1503,PP ESPESADOR CONC PP ESPESADOR CONC BOMBA FLUJO INFERIOR ESPESADOR DE CU FILTRADO,""MOTOR ELECTRICO 100 HP,1480 RPM."",";;;;;;;;;;;;;;;;;;;
80861,310PP153 | 310PP159,PP SUMIDERO ESPES PP ALIM TRATAM AGUAS,MOTOR ELÉCTRICO (3 PH)(50 HZ)(FRAME:365T)(TYPE:TCE) (SF:1.15)(MOD:H17569) FOR: TAG 150PP034A / 038A /042A . SERIE:A07A130017R-1,US MOTOR;;;;;;;;;;;;;;;;;;;
457010,310PP153 | 310PP159,PP SUMIDERO ESPES PP ALIM TRATAM AGUAS,MOTOR ELÉCTRICO (3 PH)(50 HZ)(FRAME:365T)(TYPE:TCE) (SF:1.15)(MOD:H17569) FOR: TAG 150PP034A / 038A /042A . SERIE:A07A130017R-1,US MOTOR;;;;;;;;;;;;;;;;;;;
80762,310PP1032,PP SUMID PLANT FILT,MOTOR ELÉCTRICO (3 PH)(50 HZ)(FRAME:285T) (TYPE:TCE)(SF:1.15)(MOD:H19952) FOR:TAG NO.: 160PP085A / 095A.,US MOTOR;;;;;;;;;;;;;;;;;;;
460741,310PP1032,PP SUMID PLANT FILT,MOTOR ELÉCTRICO REPARADO (3 PH)(50 HZ)(FRAME:285T) (TYPE:TCE)(SF:1.15)(MOD:H19952) FOR:TAG NO.: 160PP085A / 095A.,US MOTOR;;;;;;;;;;;;;;;;;;;
80804,310PP165 | 310PP166 | 700PP1631 | 700PP1632,,ELECTRIC MOTOR (30 HP)(3 PH)(50 HZ)(FRA ME:326TS)(TYPE:TCE)(SF:1.15)(380 V) (41 AMP) FOR:TAG NO.:310PP165A/166A.,;;;;;;;;;;;;;;;;;;;
456996,310PP165 | 310PP166,,ELECTRIC MOTOR REPARADO (30 HP)(3 PH)(50 HZ)(FRA ME:326TS)(TYPE:TCE)(SF:1.15)(380 V) (41 AMP) FOR:TAG NO.:310PP165A/166A.,;;;;;;;;;;;;;;;;;;;
469551,,PP SUMID TK ALM. CONCEN,MOTOR ELÉCTRICO REPARADO (3 PH)(50 HZ)(FRAME:285T) (TYPE:TCE)(SF:1.15)(MOD:H19952) FOR:TAG NO.: 160PP085A / 095A.,US MOTOR;;;;;;;;;;;;;;;;;;;
80788,310PP171 | 350PP175 | 350PP176,,MOTOR ELÉCTRICO (3 PH)(50 HZ)(FRAME:324TS) (TYPE:TCE)(SF:1.15)(MOD:H17042) FOR:TAG NO.: 350PP175A/176A.,US MOTOR;;;;;;;;;;;;;;;;;;;
513200,310PP171 | 350PP175 | 350PP176,,MOTOR ELÉCTRICO REPARADO (3 PH)(50 HZ)(FRAME:324TS) (TYPE:TCE)(SF:1.15)(MOD:H17042) FOR:TAG NO.: 350PP175A/176A.,US MOTOR;;;;;;;;;;;;;;;;;;;
80697,310PP173 | 310PP174 | 350PP181 | 350PP182,PP AGUA PROCESO PP AGUA PROCESO,MOTOR ELÉCTRICO (3 PH)(50HZ)(FRAME:254T) (TIPO:TCE)(SF:1.15) FOR:160FA015A/ 160PP060A/061A/063A/064A/228A/229A 350PP181/182.,US MOTOR;;;;;;;;;;;;;;;;;;;
80820,310TM008 | 312TM1501,MEC ESPESADOR CONCEN,MOTOR ELÉCTRICO (3 PH)(50 HZ)(FRAME:326TC)(TYPE:TCE) (SF:1.15) FOR:TAG NO.:170TM001A/001B/002A/002B; 180TM006A;310TM008A.,US MOTOR;;;;;;;;;;;;;;;;;
457002,310TM008 | 312TM1501,MEC ESPESADOR CONCEN,MOTOR ELÉCTRICO REPARADO (3 PH)(50 HZ)(FRAME:326TC)(TYPE:TCE) (SF:1.15) FOR:TAG NO.:170TM001A/001B/002A/002B; 180TM006A;310TM008A.,US MOTOR;;;;;;;;;;;;;;;;;
336487,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,PP ALIMENT FILTROS PP ALIMENT FILTROS PP ALIMENT FILTROS,MOTOR ELECTRICO PARA TREN DE BOMBAS ASH-VULCO DE ALIMENTACION A FILTROS DE PRENSA SVEDALA ID # : H04-41077596-100R HP :150 INSUL CLASS : F FRAME:449T DUTY : CONT RPM : 1485 WT : 2400 LB TYPE : JCE SF : 1.15 ENCL : TE HZ : 50 FASES: 3 CODE : H VOLT : 380 DES: : A AMP : 209 MAX KVAR : 33.6 EFF NOMINAL : 95.0 FACTOR POT : 58.6 SHAFT BRG : C2220 OPP BRG : 100 BC 02J3 MAX. AMB : 40? C,US MOTORS;;;;;;;;;;;;;;;;;;;
460295,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,PP ALIMENT FILTROS PP ALIMENT FILTROS PP ALIMENT FILTROS,MOTOR ELECTRICO PARA TREN DE BOMBAS REPARADO ASH-VULCO DE ALIMENTACION A FILTROS DE PRENSA SVEDALA ID # : H04-41077596-100R HP :150 INSUL CLASS : F FRAME:449T DUTY : CONT RPM : 1485 WT : 2400 LB TYPE : JCE SF : 1.15 ENCL : TE HZ : 50 FASES: 3 CODE : H VOLT : 380 DES: : A AMP : 209 MAX KVAR : 33.6 EFF NOMINAL : 95.0 FACTOR POT : 58.6 SHAFT BRG : C2220 OPP BRG : 100 BC 02J3 MAX. AMB : 40? C,US MOTORS;;;;;;;;;;;;;;;;;;;
"346619,311PP1030 | 311PP1031 | 311PP1033 | 350PP182 | 740DR159603,BOMBA AGUA DE SELLO FILTRADO (1030-1031-1032),""MOTOR ELECTRICO 2 HP 1475 RPM FR 182T, TYPE CE, ENCL TE, INSUL F,380V, 3.4 AMP, SF 1.15, KVAR 1.2 EFF 89.5, PF 58.2, CODE M, DES B, ID J02-04659550-100-M S08 001,BOMBA DE LLENADO Y DRENAJE DE ACEITE 740DR15012-03, MUESTREADORES PRIMARIOS AREA 312SA1503/1508.PLANTA DE MOLIBDENO PUERTO PATACHE"",US MOTOR";;;;;;;;;;;;;;;;;;;
"342741,311PP1032 | 710PP1512 | 710PP1513,BOMBA PISO SUMIDERO SECTOR LOSA TREN DE BBA FILTRADO BOMBA DESCARGA PRIMERA LIMPIEZA,""MOTOR ELECTRICO US MOTORS, ID:J08-20015499-100R-01. PARA:BOMBA AIMENTACION 1RA LIMPIEZA TAG 710PP1508 Y 1509 ALIMENTACION 2DA.LIMPIEZA TAG 710PP1512 Y 1513 AGITADOR ESTANQUE TAG 710TK1512 BOMBAS DE REBOSE ESPESADOR TAG 740PP1615 Y 1616 AGITADOR LAVADOR DE GACES TAG 740DC1596"",WEG";;;;;;;;;;;;;;;;;;;
"595991,311PP1032 | 710PP1512 | 710PP1513,BOMBA PISO SUMIDERO SECTOR LOSA TREN DE BBA FILTRADO BOMBA DESCARGA PRIMERA LIMPIEZA,""MOTOR ELECTRICO US MOTORS, ID:J08-20015499-100R-01. PARA:BOMBA AIMENTACION 1RA LIMPIEZA TAG 710PP1508 Y 1509 ALIMENTACION 2DA.LIMPIEZA TAG 710PP1512 Y 1513 AGITADOR ESTANQUE TAG 710TK1512 BOMBAS DE REBOSE ESPESADOR TAG 740PP1615 Y 1616 AGITADOR LAVADOR DE GACES TAG 740DC1596"",WEG";;;;;;;;;;;;;;;;;;;
"80911,311PP1180,BOMBA SUMIDERO PLANTA FILTRADO,""MOTOR ELÉCTRICO (445T,FR)(TYPE:TCI) (SF:1.15) FOR: TAG NO.:320CV025."",US MOTOR";;;;;;;;;;;;;;;;;;;
"457036,311PP1180,BOMBA SUMIDERO PLANTA FILTRADO,""MOTOR ELÉCTRICO (445T,FR)(TYPE:TCI) (SF:1.15) FOR: TAG NO.:320CV025."",US MOTOR";;;;;;;;;;;;;;;;;;;
"342790,311PP1181 | 311PP1182,BOMBA ALIMENTACIÓN AGUA LAVADO TELAS FILTRADO BOMBA DISTRIBUCIÓN AGUA FILTRADA,""MOTOR ELECTRICO MARCA US MOTORS 50 HP 2970 RPM , FRAME 365T, 380 VOLTS 67 AMPERES,ID:J04 20018903-100R-02. PARA BOMBAS DE DISTRIBUCION DE AGUA FILTRADA PLANTA DE MOLIBDENO PUERTO PATACHE"",US MOTOR";;;;;;;;;;;;;;;;;;;
"342733,710PP1508 | 710PP1509 | 710PP1611 | 710PP1617 | 710PP1619 | 740PP1614 | 740PP1635,BOMBA TRANSFERENCIA DE AGUA FILTRADO (3303-3304) BOMBA ALIMENTACIÓN 1ERA LIMPIEZA (1508-1509) BOMBA DE PISO 1ERA LIMPIEZA (1611) BOMBA DE PISO LIMPIEZA FINAL(1617) BOMBA MUESTREO RELAVES ROUGHER (1919) BOMBA PISO ESPESADOR MOLY (1914) BOMBA PISO FILTRO MOLY (1635),""MOTOR ELECTRICO US MOTORS 40 HP 1485RPM FRAME 364T, 50HZ, SF1.15, TYPE CE, ENCL TE ,+ INSUL F, CODE H,DES B , KVAR 10.1 , EFF 95, PF 86 , ROD EJE 65RN03J3OD6 , ROD VENT 65BC03J3"",US MOTOR";;;;;;;;;;;;;;;;;;;
"346924,312AG1504,AGITADOR TK ALMACENAMIENTO CONCENTRADO FILTRADO,""MOTOR ELECTRICO 40 HP FR 364T,TYPE TCE ENCL TE, INSUL F, CODE F, DES B,380 V, 55 AMP 1465 RPM, 6.1 KVAR, 94.5 EFF, 87.1 PF, ID #J03-30022199-100R-01 PARA AGITADOR ESTANQUE ALMACENAMIENTO CC MIXT PLANTA DE MOLIBDENO PUERTO PATACHE"",US MOTOR";;;;;;;;;;;;;;;;;;;
"745675,312AG1504,AGITADOR TK ALMACENAMIENTO CONCENTRADO FILTRADO,""MOTOR ELECTRICO REPARADO 40 HP FR 364T,TYPE TCE ENCL TE, INSUL F, CODE F, DES B,380 V, 55 AMP 1465 RPM, 6.1 KVAR, 94.5 EFF, 87.1 PF, ID #J03-30022199-100R-01 PARA AGITADOR ESTANQUE ALMACENAMIENTO CC MIXT PLANTA DE MOLIBDENO PUERTO PATACHE"",US MOTOR";;;;;;;;;;;;;;;;;;;
"370163,312PP1504 | 312PP1505,BOMBA TRANSFERENCIA PLANTA DE MOLY,""MOTOR ELECTRICO,60 HP,380V,82A,1485 RPM, TYPE:CE,ENCL:TE,INS:F,FRAME:405T,CODE:G, DES:B,SF:1.15,13.8 KVAR,95.4EFF,87.3FP, ID#J02 82000326-100-01"",US MOTOR";;;;;;;;;;;;;;;;;;;
