CODIGO,DESCRIPCION,MODELO,TAGS,QTY,N_PARTE
343277,"BOMBA WARMAN 2x1,5 SRM_CV 9279_1","2x1,5 SRM",710PP101 | 710PP102 | 740PP1527 | 740PP1528,1,A400300084
343228,RODAMIENTO LADO IMPULSOR,"2x1,5 SRM",710PP101 | 710PP102 | 740PP1527 | 740PP1528,1,1160153000
343236,RODAMIENTO LADO POLEA,"2x1,5 SRM",710PP101 | 710PP102 | 740PP1527 | 740PP1528,1,1160154000
343210,"BOMBA ASH 2,5 x 2 - SRH_BS #PUR",2.5x2 SRH,,1,A410200S90
465443,"BOMBA ASH 2,5 x 2 - SRH_BS #PUR REPARABLE",2.5x2 SRH,,1,
343178,REVESTIMIENTO LADO SUCCION,2.5x2 SRH,,1,A410104090
343194,REVESTIMIENTO LADO PRENSA,2.5x2 SRH,,1,A410205090
343186,IMPULSOR,2.5x2 SRH,,1,A410107090
354480,ANILLO HIDRAULICO,2.5x2 SRH,,1,A410132001
343202,CAMISA EJE,2.5x2 SRH,,1,A410133000
365221,ANILLO DE DESGASTE,2.5x2 SRH,,1,A410220090
343228,RODAMIENTO LADO IMPULSOR,2.5x2 SRH,,1,1160153000
343236,RODAMIENTO LADO POLEA,2.5x2 SRH,,1,1160154000
761947,PERNO DE SUJECION ASH 2.5X2,2.5x2 SRH,,3,A410199503
758081,"ACCUMIN CANISTER 120, MOBIL XHP 222",2.5x2 SRH,,1,WA120Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",2.5x2 SRH,,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",2.5x2 SRH,,1,WA250Y-10
342550,BOMBA ASH 5x4x12-SRC _CV C/POLEA/CORR,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,A430100067
465450,BOMBA BARESHAFT WARMAN 5X4 SRC G-668 REPARABLE,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,
32177,ANILLO ESPACIADOR (golilla impulsor),5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,A430134001
212753,O'RING ANILLO ESPACIADOR,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,1031312000
31526,BEARING ASSEMBLY N°3,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,A430152000
32755,O'RING TAPA INTERIOR PORTARRODAMIENT,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,1031315000
32383,V'RING CORTAGOTAS,5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,A430193070
499509,"PROTECC. CORREAS M.OVERHEAD ASH5X4""",5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,A430198200
758081,"ACCUMIN CANISTER 120, MOBIL XHP 222",5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,WA120Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",5x4 SRC,310PP161 | 310PP162 | 710PP1521 | 710PP1522,1,WA250Y-10
345025,BBA WARMAN 5x4-SRH 710PP1521/1522 IMP.AB,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430200064
465450,BOMBA WARMAN 5x4-SRH_BS IMP.SEMIABIERTO REPARABLE,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,
32557,REVESTIMIENTO LADO SUCCION,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430104090
32540,REVESTIMIENTO LADO PRENSA,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430205090
32375,IMPULSOR,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430107090
31971,PRENSA,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430231000
32532,ANILLO HIDRAULICO,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430232000
32516,CAMISA EJE,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430233000
32805,EMPAQUETADURA,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430235000
212753,O'RING ANILLO ESPACIADOR,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,1031312000
31963,CAMISA ESPACIADORA,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430221000
31526,BEARING ASSEMBLY N°3,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430152000
32755,O'RING TAPA INTERIOR PORTARRODAMIENTO,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,1031315000
32383,V'RING CORTAGOTAS,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430193070
290932,POLEA DE 12.5DP. x 5 - 5V CON MANGUITO Bomba 151-152,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,PP05612500
289769,POLEA DE 12.5DP. x 5 - 5V CON MANGUITO Bomba 151-152,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,PP05612500
761948,PERNO DE SUJECION ASH 5x4+T+GPL,5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,3,A430198103
499509,"PROTECC. CORREAS M.OVERHEAD ASH5X4""",5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,A430198200
758081,"ACCUMIN CANISTER 120, MOBIL XHP 222",5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,WA120Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",5x4 SRH,310PP152 | 312PP1501 | 312PP1502 | 314PP210 | 314PP211 | 710PP1514 | 710PP1515 | 710PP1518 | 710PP1519 | 710PP1523 | 710PP1524 | 710PP1525,1,WA250Y-10
461798,BOMBA ASH 6 x 6 - SRC BARE SHAFT,6x6 SRC,310PP3303 | 310PP3304,1,A440100S62
465484,BOMBA ASH 6 x 6 - SRC BARE SHAFT REPARABLE,6x6 SRC,310PP3303 | 310PP3304,1,
84798,CARCASA SUCCION,6x6 SRC,310PP3303 | 310PP3304,1,A440101000
456095,CARCASA PRENSA,6x6 SRC,310PP3303 | 310PP3304,1,A440102000
354910,REVESTIMIENTO LADO SUCCION,6x6 SRC,310PP3303 | 310PP3304,1,A440104062
345082,IMPULSOR,6x6 SRC,310PP3303 | 310PP3304,1,A440107062
345090,DISCO SUCCION,6x6 SRC,310PP3303 | 310PP3304,1,A440110062
441832,DISCO PRENSA,6x6 SRC,310PP3303 | 310PP3304,1,A440111062
468793,EMPAQUETADURA FLANGE DESCARGA,6x6 SRC,310PP3303 | 310PP3304,1,A440197062
441840,PRENSA,6x6 SRC,310PP3303 | 310PP3304,1,A440131000
441857,ANILLO HIDRAULICO,6x6 SRC,310PP3303 | 310PP3304,1,A440132001
441865,CAMISA EJE,6x6 SRC,310PP3303 | 310PP3304,1,A440133000
31534,ANILLO ESPACIADOR (golilla impulsor),6x6 SRC,310PP3303 | 310PP3304,1,A440134000
468801,EMPAQUETADURA,6x6 SRC,310PP3303 | 310PP3304,1,A440135000
456152,O'RING ANILLO ESPACIADOR,6x6 SRC,310PP3303 | 310PP3304,1,1031324000
441881,EXPULSOR LADO IMPULSOR,6x6 SRC,310PP3303 | 310PP3304,1,A440121062
441899,CAJA EXPULSORA,6x6 SRC,310PP3303 | 310PP3304,1,A440122000
441907,REVESTIMIENTO CAJA EXPULSORA,6x6 SRC,310PP3303 | 310PP3304,1,A440123062
441915,PLATO TRASERO,6x6 SRC,310PP3303 | 310PP3304,1,A440124062
441923,EXPULSOR LADO POLEA,6x6 SRC,310PP3303 | 310PP3304,1,A440125062
326314,BEARING ASSEMBLY N°4,6x6 SRC,310PP3303 | 310PP3304,1,A440152000
441873,CHAVETA,6x6 SRC,310PP3303 | 310PP3304,1,A440195000
499491,PROTECCION CORREAS,6x6 SRC,310PP3303 | 310PP3304,1,A440198200
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRC,310PP3303 | 310PP3304,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRC,310PP3303 | 310PP3304,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRC,310PP3303 | 310PP3304,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRC,310PP3303 | 310PP3304,1,WA250Y-10
345116,BOMBA WARMAN 6x6-SRH_BS G924,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440200S90
767858,BOMBA WARMAN 6x6-SRH_BS CON REVESTIMIENTO EN POLIURETANO,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440200S90-2
465476,BOMBA WARMAN 6x6-SRH_BS G924 REPARABLE,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,
336230,CARCASA SUCCION,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440101000
332080,CARCASA PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440102000
174805,REVESTIMIENTO LADO SUCCION,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440104090
345066,REVESTIMIENTO LADO PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440105090
174813,IMPULSOR 4VC,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440107090
174839,DISCO SUCCION,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440110090
174821,DISCO PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440211090
332163,EMPAQUETADURA FLANGE DESCARGA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440197062
415471,CAJA PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440230000
176248,PRENSA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440231000
441857,ANILLO HIDRAULICO,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440232001
31559,CAMISA EJE,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440233000
31534,ANILLO ESPACIADOR (golilla impulsor),6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440134000
31575,EMPAQUETADURA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440235000
456152,O'RING ANILLO ESPACIADOR,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,1031324000
326744,O'RING CAMISA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,1031329000
365197,ANILLO DE DESGASTE,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440220090
451328,CAMISA ESPACIADORA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440221000
326314,BEARING ASSEMBLY N°4,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440152000
441873,CHAVETA,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440195000
499491,PROTECCION CORREAS,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,A440198200
307629,POLEA 15.5DP.x5 - 5VxFUND.GRIS C/MANG. Polea Bomba,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,PP05615500
761949,BOLT AJUSTING MONTAJE ZV WARMAN 100 SLR,6x6 SRH,310PP151 | 312PP1504 | 312PP1505,3,A440198103
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,2,WA250Y-10
758084,"ACCUMIN CANISTER 250, MOBIL XHP 222",6x6 SRH,310PP151 | 312PP1504 | 312PP1505,1,WA250Y-10
336230,BOMBA ASH. 8x8x17 SRH _ZV S/POLEA/COR,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450200111
465492,BOMBA ASH 8 x 8 x 17 - SRH_BS REPARABLE,8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,
332080,CARCASA SUCCION(3),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450101000
332098,CARCASA PRENSA(2),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450102000
332106,REVESTIMIENTO LADO SUCCION(6),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450104090
591966,REVESTIMIENTO LADO PRENSA(2),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450205090
591958,IMPULSOR 4VC(4),8x8 SRH,311PP1026 | 311PP1027 | 311PP1028 | 311PP1029,1,A450107090
